year_listed,year_sold,days_on_market,city_frequency,state_frequency,description_year_built,description_stories,description_baths,description_beds,description_garage,description_sqft,central_air,community_outdoor_space,basement,fireplace,hardwood_floors,recreation_facilities,community_security_features,view,central_heat,city_view,fenced_yard
-0.0898505680996329,0.7345682022016621,-0.13421245382129265,-0.17248103103808096,-0.06180149364790765,0.87604565644913,2.2363251878890105,1.721314508605715,0.5899956134565111,0.7226324411630538,0.3104169911153385,1,1,1,1,1,0,1,0,0,0,0
-0.0898505680996329,0.7345682022016621,-0.823337222703675,0.5301485912401218,0.1765115462543968,1.494672099385025,0.667419601175585,0.6910836809129486,-0.2184704291626629,-0.12078151539232414,-0.4599415169250443,0,1,0,0,0,1,0,0,0,0,0
-0.0898505680996329,0.7345682022016621,-0.42437025124545363,-0.373232351688996,-1.0944913332245603,1.0728813428378239,0.667419601175585,0.6910836809129486,0.5899956134565111,0.7226324411630538,0.7399567771996531,0,1,1,1,1,1,0,1,0,0,0
-0.0898505680996329,0.7345682022016621,-0.20675190317733289,-2.481121218523604,0.9311695059450276,0.7635681213698764,-0.9014859855378404,0.6910836809129486,0.5899956134565111,1.5660463977184318,0.7031699945123314,1,1,0,1,1,0,0,0,1,0,0
-0.0898505680996329,0.7345682022016621,-0.7145280486696146,0.5803364214028506,0.6531376260590057,-2.1608477906907186,-0.9014859855378404,-1.3693779744725845,-0.2184704291626629,-0.964195471947702,-0.5692199007903234,0,1,1,0,1,0,0,0,0,0,0
-0.0898505680996329,-1.3613439800452625,0.029001307229797914,0.479960761077393,0.09707386628696199,-0.7548786022000479,0.667419601175585,0.6910836809129486,-0.2184704291626629,0.7226324411630538,0.006385051846591929,0,1,1,1,0,0,0,0,0,0,0
-0.0898505680996329,-1.3613439800452625,-0.38810052656743355,-0.12229320087535218,-0.2603956935664947,0.3417773648226752,-0.9014859855378404,-0.3391471467798179,-0.2184704291626629,0.7226324411630538,0.2433352109208108,0,1,0,1,1,1,1,0,0,0,0
-0.0898505680996329,0.7345682022016621,0.28288937997593877,0.15373986501965603,-0.41927105350136434,-1.2047887425170625,0.667419601175585,-0.3391471467798179,1.398461656075685,-0.964195471947702,-0.08125404808496847,0,1,1,0,1,1,0,0,0,0,0
-0.0898505680996329,0.7345682022016621,1.5523297437066432,-0.5739836723399111,-0.10152033363162506,-2.0202508718416516,2.2363251878890105,-1.3693779744725845,1.398461656075685,-0.964195471947702,-0.2641059973248908,0,0,1,0,0,0,0,0,0,0,0
-0.0898505680996329,-1.3613439800452625,-0.6963931863306045,0.7308999118910369,0.4942622661241361,0.14494167843398129,0.667419601175585,-1.3693779744725845,-1.0269364717818368,-0.12078151539232414,-1.104792178149859,1,1,0,0,0,1,1,0,0,0,0
-0.0898505680996329,0.7345682022016621,2.2051847879110054,-0.44851409693308913,0.9311695059450276,1.5509108669246519,-0.9014859855378404,0.6910836809129486,-0.2184704291626629,1.5660463977184318,0.28336788619819026,1,1,0,1,0,0,0,0,1,0,0
-0.0898505680996329,0.7345682022016621,0.17408020594187842,0.37958510075193547,-0.06180149364790765,-0.19249092680377966,-0.9014859855378404,-1.3693779744725845,-0.2184704291626629,-0.964195471947702,-1.0928905719863138,1,1,1,0,0,0,0,0,0,0,0
